Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1569924000,2019-10-01 10:00:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,31500,9516,90,0,
1569924300,2019-10-01 10:05:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,41600,9516,90,0,
1569924600,2019-10-01 10:10:00.000,57.991894N 10.547354E 202m,GNSS locked,5,Time OK,Coarse lock,8300,9412,90,8229,
1569924900,2019-10-01 10:15:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,6500,9513,90,0,
1569925200,2019-10-01 10:20:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,15600,9513,90,0,
1569925500,2019-10-01 10:25:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,24900,9513,90,0,
1569925800,2019-10-01 10:30:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,34500,9513,90,0,
1569926100,2019-10-01 10:35:00.000,57.991894N 10.547354E 202m,Off,10,Time OK,Free running,45900,9513,90,0,
1569926400,2019-10-01 10:40:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,3500,9514,90,0,
1569926700,2019-10-01 10:45:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,15100,9514,90,0,
1569927000,2019-10-01 10:50:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,29100,9514,90,0,
1569927300,2019-10-01 10:55:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,45100,9514,90,0,
