Time(longsecs),Time(UTC),GPS Satellite Acquisition Flag 1,GPS Satellite Acquisition Flag 2,GPS Satellite Acquisition Flag 3,GPS Satellite Acquisition Flag 4,GPS Satellite Acquisition Flag 5,GPS Satellite Acquisition Flag 6,GPS Satellite Acquisition Flag 7,GPS Satellite Acquisition Flag 8,GPS Satellite Acquisition Flag 9,GPS Satellite Acquisition Flag 10,GPS Satellite Acquisition Flag 11,GPS Satellite Acquisition Flag 12,GPS Satellite Azimuth 1(Degrees),GPS Satellite Azimuth 2(Degrees),GPS Satellite Azimuth 3(Degrees),GPS Satellite Azimuth 4(Degrees),GPS Satellite Azimuth 5(Degrees),GPS Satellite Azimuth 6(Degrees),GPS Satellite Azimuth 7(Degrees),GPS Satellite Azimuth 8(Degrees),GPS Satellite Azimuth 9(Degrees),GPS Satellite Azimuth 10(Degrees),GPS Satellite Azimuth 11(Degrees),GPS Satellite Azimuth 12(Degrees),GPS Satellite Elevation 1(Degrees),GPS Satellite Elevation 2(Degrees),GPS Satellite Elevation 3(Degrees),GPS Satellite Elevation 4(Degrees),GPS Satellite Elevation 5(Degrees),GPS Satellite Elevation 6(Degrees),GPS Satellite Elevation 7(Degrees),GPS Satellite Elevation 8(Degrees),GPS Satellite Elevation 9(Degrees),GPS Satellite Elevation 10(Degrees),GPS Satellite Elevation 11(Degrees),GPS Satellite Elevation 12(Degrees),GPS Satellite PRN 1,GPS Satellite PRN 2,GPS Satellite PRN 3,GPS Satellite PRN 4,GPS Satellite PRN 5,GPS Satellite PRN 6,GPS Satellite PRN 7,GPS Satellite PRN 8,GPS Satellite PRN 9,GPS Satellite PRN 10,GPS Satellite PRN 11,GPS Satellite PRN 12,GPS Satellite Signal Level 1(AMU),GPS Satellite Signal Level 2(AMU),GPS Satellite Signal Level 3(AMU),GPS Satellite Signal Level 4(AMU),GPS Satellite Signal Level 5(AMU),GPS Satellite Signal Level 6(AMU),GPS Satellite Signal Level 7(AMU),GPS Satellite Signal Level 8(AMU),GPS Satellite Signal Level 9(AMU),GPS Satellite Signal Level 10(AMU),GPS Satellite Signal Level 11(AMU),GPS Satellite Signal Level 12(AMU),
1570129245,2019-10-03 19:00:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,2.1770744E2,5.7398136E1,2.90726368E2,2.88305824E2,1.33499216E2,6.6147008E1,3.24733248E2,,,,,,6.4580792E1,2.9437914E1,5.8380387999999996E1,2.2743893999999997E1,3.6943464E1,6.2692491999999994E1,1.0729258E1,,,,,,5,7,13,15,28,30,21,,,,,,15,4,8,2,9,15,0,,,,,,
1570129305,2019-10-03 19:01:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,2.1770744E2,5.7398136E1,2.90726368E2,2.88305824E2,1.33499216E2,6.6147008E1,3.24733248E2,,,,,,6.4580792E1,2.9437914E1,5.8380387999999996E1,2.2743893999999997E1,3.6943464E1,6.2692491999999994E1,1.0729258E1,,,,,,5,7,13,15,28,30,21,,,,,,15,4,8,2,9,15,0,,,,,,
1570129365,2019-10-03 19:02:45.723,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,2.1770744E2,5.7398136E1,2.90726368E2,2.88305824E2,1.33499216E2,6.6147008E1,3.24733248E2,,,,,,6.4580792E1,2.9437914E1,5.8380387999999996E1,2.2743893999999997E1,3.6943464E1,6.2692491999999994E1,1.0729258E1,,,,,,5,7,13,15,28,30,21,,,,,,15,4,8,2,9,15,0,,,,,,
1570129425,2019-10-03 19:03:45.732,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.16849472E2,5.7457764E1,2.9110950399999996E2,2.8848758399999997E2,1.33138928E2,6.5850612E1,3.2438035199999996E2,4.8913456E1,,,,,6.425086E1,2.9031532E1,5.8801148E1,2.3138932E1,3.7334084E1,6.2264348E1,1.0822631E1,5.114305E0,,,,,5,7,13,15,28,30,21,8,,,,,15,6,8,4,10,15,0,0,,,,,
1570129485,2019-10-03 19:04:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.0123931199999998E2,6.0077532E1,3.03329344E2,2.92831648E2,1.2099828799999999E2,6.242368E1,3.8396952E1,3.14417952E2,,,,,5.348256E1,1.8299454E1,7.0315152E1,3.4137299999999996E1,4.6901796E1,5.0519368E1,7.522086E0,1.193843E1,,,,,5,7,13,15,28,30,8,21,,,,,15,5,9,8,10,8,0,0,,,,,
1570129545,2019-10-03 19:05:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570129605,2019-10-03 19:06:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570129665,2019-10-03 19:07:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570129725,2019-10-03 19:08:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570129785,2019-10-03 19:09:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570129845,2019-10-03 19:10:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570129905,2019-10-03 19:11:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570129965,2019-10-03 19:12:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570130025,2019-10-03 19:13:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570130085,2019-10-03 19:14:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570130145,2019-10-03 19:15:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570130205,2019-10-03 19:16:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570130265,2019-10-03 19:17:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570130325,2019-10-03 19:18:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
1570130385,2019-10-03 19:19:45.722,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,,,,,2.00869056E2,6.0206848E1,3.0390115199999997E2,2.92967648E2,1.2044247999999999E2,6.2414919999999995E1,3.8000384E1,3.14037088E2,,,,,5.3039116E1,1.7910059999999998E1,7.074696E1,3.4558716E1,4.720746E1,5.0083251999999995E1,7.559365E0,1.1927037E1,,,,,5,7,13,15,28,30,8,21,,,,,15,1,11,8,7,12,0,0,,,,,
