Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570255245,2019-10-05 06:00:45.722,-1.5902519E-4,-7.153034E-3,-5.6028366E-4,-1.901865E-3,3.70265E-1,3.6400127E-1,3.719387E-1,
1570255305,2019-10-05 06:01:45.722,-1.1701584E-3,-7.5922012E-3,-1.4321804E-3,-2.3236275E-3,3.6933136E-1,3.6432552E-1,3.7251282E-1,
1570255365,2019-10-05 06:02:45.722,-3.3569336E-4,-9.139776E-3,-1.8150806E-3,-2.301693E-3,3.738413E-1,3.6676025E-1,3.7783813E-1,
1570255425,2019-10-05 06:03:45.722,1.7938614E-3,-5.4671764E-3,9.069443E-4,5.002022E-4,3.7691498E-1,3.7077522E-1,3.8008404E-1,
1570255485,2019-10-05 06:04:45.760,-3.3545494E-4,-7.8082085E-3,-8.533001E-4,-1.6138554E-3,3.7037754E-1,3.6479187E-1,3.7058926E-1,
1570255545,2019-10-05 06:05:45.732,-2.7980804E-3,-1.0103941E-2,-3.5448074E-3,-3.4754276E-3,3.6322975E-1,3.5809708E-1,3.6591148E-1,
1570255605,2019-10-05 06:06:45.722,1.7080307E-3,-6.14357E-3,4.0102005E-4,1.5163422E-4,3.7312984E-1,3.6801338E-1,3.7670326E-1,
1570255665,2019-10-05 06:07:45.723,2.098322E-3,-6.272316E-3,2.977848E-4,4.825592E-4,3.8010502E-1,3.7397385E-1,3.8135624E-1,
1570255725,2019-10-05 06:08:45.722,-3.1256676E-4,-7.772684E-3,-1.1332035E-3,-1.418829E-3,3.706789E-1,3.6407757E-1,3.729458E-1,
1570255785,2019-10-05 06:09:45.722,-2.511263E-3,-1.0106564E-2,-3.8471222E-3,-4.016638E-3,3.639431E-1,3.5867882E-1,3.6661434E-1,
1570255845,2019-10-05 06:10:45.722,7.4625015E-5,-7.853508E-3,-9.26733E-4,-9.570122E-4,3.7352085E-1,3.6871147E-1,3.755188E-1,
1570255905,2019-10-05 06:11:45.722,1.5146732E-3,-6.0510635E-3,4.0197372E-4,-3.5881996E-4,3.737774E-1,3.677883E-1,3.7714577E-1,
1570255965,2019-10-05 06:12:45.722,-2.1743774E-4,-7.340431E-3,-5.4192543E-4,-1.5642643E-3,3.6954308E-1,3.6424255E-1,3.7037182E-1,
1570256025,2019-10-05 06:13:45.722,1.6186237E-3,-5.824566E-3,3.1161308E-4,4.4465065E-4,3.751402E-1,3.6975765E-1,3.7733936E-1,
1570256085,2019-10-05 06:14:45.722,-2.5746822E-3,-1.021719E-2,-3.4229755E-3,-3.50976E-3,3.6105156E-1,3.5542488E-1,3.6357117E-1,
1570256145,2019-10-05 06:15:45.722,-8.995533E-4,-8.528471E-3,-1.9316673E-3,-2.1247864E-3,3.6951637E-1,3.6500072E-1,3.718691E-1,
1570256205,2019-10-05 06:16:45.722,-6.005764E-4,-7.845879E-3,-1.2381077E-3,-2.44236E-3,3.6926746E-1,3.6527634E-1,3.7188148E-1,
1570256265,2019-10-05 06:17:45.728,-7.4338913E-4,-8.067131E-3,-1.9059181E-3,-2.2850037E-3,3.7008572E-1,3.6314964E-1,3.7154293E-1,
1570256325,2019-10-05 06:18:45.723,2.8300285E-4,-7.7135563E-3,-1.4362335E-3,-1.8553734E-3,3.702507E-1,3.6442184E-1,3.735981E-1,
1570256385,2019-10-05 06:19:45.722,-2.5031567E-3,-1.0574102E-2,-3.2923222E-3,-4.271984E-3,3.6383057E-1,3.5871696E-1,3.6654663E-1,
1570256445,2019-10-05 06:20:45.722,1.7073154E-3,-5.8641434E-3,8.9240074E-4,3.681183E-4,3.795557E-1,3.7424374E-1,3.817196E-1,
1570256505,2019-10-05 06:21:45.724,-2.956152E-3,-1.0034561E-2,-3.3171177E-3,-4.0569305E-3,3.6799812E-1,3.6116028E-1,3.696041E-1,
1570256565,2019-10-05 06:22:45.722,-2.1505356E-3,-1.0247707E-2,-3.7066936E-3,-3.5128593E-3,3.6401272E-1,3.5769463E-1,3.669567E-1,
1570256625,2019-10-05 06:23:45.722,-2.9492378E-4,-7.499695E-3,-1.3098717E-3,-1.3618469E-3,3.7514877E-1,3.6901665E-1,3.7496662E-1,
