Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570370445,2019-10-06 14:00:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,34200,9528,0,2019-10-06 13:37:02.000000000,
1570370505,2019-10-06 14:01:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,36200,9528,0,2019-10-06 13:37:02.000000000,
1570370565,2019-10-06 14:02:45.756,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,38100,9528,0,2019-10-06 13:37:02.000000000,
1570370625,2019-10-06 14:03:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,40300,9528,0,2019-10-06 13:37:02.000000000,
1570370685,2019-10-06 14:04:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,42600,9528,0,2019-10-06 13:37:02.000000000,
1570370745,2019-10-06 14:05:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,45000,9528,0,2019-10-06 13:37:02.000000000,
1570370805,2019-10-06 14:06:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,47600,9528,0,2019-10-06 13:37:02.000000000,
1570370865,2019-10-06 14:07:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,49900,9528,0,2019-10-06 13:37:02.000000000,
1570370925,2019-10-06 14:08:45.722,57.990628N 10.574540E 182m,Off,6,3.7227807E0,2.6105974E0,Time OK,Free running,52200,9528,0,2019-10-06 13:37:02.000000000,
1570370985,2019-10-06 14:09:45.723,57.990568N 10.574419E 206m,Doing fixes,7,3.4134521E0,2.218462E0,Time OK,Coarse lock,100,10412,-7916,2019-10-06 14:09:42.000000000,
1570371045,2019-10-06 14:10:45.722,57.990596N 10.574408E 201m,Doing fixes,8,1.8868653E0,1.094869E0,Time OK,Fine lock,100,9564,0,2019-10-06 14:10:42.000000000,
1570371105,2019-10-06 14:11:45.724,57.990628N 10.574419E 195m,Off,7,2.0446494E0,1.1904831E0,Time OK,Free running,300,9558,0,2019-10-06 14:11:22.000000000,
1570371165,2019-10-06 14:12:45.724,57.990628N 10.574419E 195m,Off,7,2.0446494E0,1.1904831E0,Time OK,Free running,1300,9558,0,2019-10-06 14:11:22.000000000,
1570371225,2019-10-06 14:13:45.722,57.990628N 10.574419E 195m,Off,7,2.0446494E0,1.1904831E0,Time OK,Free running,2400,9558,0,2019-10-06 14:11:22.000000000,
1570371285,2019-10-06 14:14:45.722,57.990628N 10.574419E 195m,Off,7,2.0446494E0,1.1904831E0,Time OK,Free running,3600,9558,0,2019-10-06 14:11:22.000000000,
1570371345,2019-10-06 14:15:45.722,57.990628N 10.574419E 195m,Off,7,2.0446494E0,1.1904831E0,Time OK,Free running,4800,9558,0,2019-10-06 14:11:22.000000000,
